type,warp_execution_efficiency,gld_efficiency,gst_efficiency,stall_inst_fetch,stall_exec_dependency,stall_memory_dependency,stall_sync,stall_pipe_busy,shared_efficiency,achieved_occupancy,l2_utilization,shared_utilization,ldst_fu_utilization,cf_fu_utilization,special_fu_utilization,tex_fu_utilization,single_precision_fu_utilization,double_precision_fu_utilization,dram_utilization,time
trt,1,0.59,0.57,0.08,0.22,0.15,0.18,0.03,0.71,0.25,0.2,0.6,0.2,0.1,0.1,0.2,0.8,0,0.4,263.67
cublas,1,0.94,1,0.06,0.11,0.5,0.08,0.02,0.42,0.4,0.29,0.3,0.16,0.1,0.12,0.18,0.7,0,0.65,982.14
cudnn,1,0.82,0.75,0.1,0.3,0.12,0.13,0.03,0.62,0.37,0.2,0.62,0.25,0.1,0.16,0.22,0.77,0,0.49,354.99
trt,1.0,0.54,1.0,0.04,0.12,0.3,0.22,0.01,0.68,0.25,0.2,0.6,0.2,0.1,0.1,0.2,0.8,0.0,0.8,355.18
trt,1.0,0.54,1.0,0.05,0.12,0.3,0.21,0.01,0.68,0.25,0.2,0.6,0.2,0.1,0.1,0.2,0.8,0.0,0.8,350.43
trt,1.0,0.54,1.0,0.05,0.13,0.29,0.22,0.01,0.68,0.25,0.2,0.6,0.2,0.1,0.1,0.2,0.8,0.0,0.8,356.12
trt,1.0,0.54,1.0,0.05,0.13,0.29,0.22,0.01,0.68,0.25,0.2,0.6,0.2,0.1,0.1,0.2,0.8,0.0,0.8,354.0
cublas,1.0,0.92,0.88,0.04,0.08,0.21,0.13,0.05,0.37,0.33,0.13,0.41,0.18,0.1,0.03,0.22,0.86,0.0,0.47,797.78
cudnn,1.0,0.84,0.74,0.04,0.26,0.16,0.21,0.02,0.77,0.32,0.2,0.58,0.26,0.1,0.09,0.2,0.73,0.0,0.73,667.64
trt,1.0,0.54,1.0,0.04,0.13,0.29,0.22,0.01,0.68,0.25,0.2,0.6,0.2,0.1,0.1,0.2,0.8,0.0,0.8,352.62
cublas,1.0,0.92,0.88,0.05,0.08,0.18,0.13,0.05,0.37,0.33,0.13,0.41,0.18,0.1,0.02,0.22,0.86,0.0,0.45,798.04
cudnn,1.0,0.84,0.74,0.03,0.26,0.16,0.2,0.02,0.77,0.33,0.2,0.58,0.26,0.1,0.09,0.2,0.73,0.0,0.73,633.12
trt,1.0,0.54,1.0,0.05,0.12,0.29,0.22,0.01,0.68,0.25,0.2,0.6,0.2,0.1,0.1,0.2,0.8,0.0,0.8,352.89
